"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8949","Сurrency change to pound","tests","Sat Sep 07 14:47:09 MSK 2024","passed","Sat Sep 07 14:47:18 MSK 2024","","test_opencart","",""
"","7592","Add to comparison","tests","Sat Sep 07 14:47:14 MSK 2024","passed","Sat Sep 07 14:47:22 MSK 2024","","test_opencart","",""
"","8385","User login","tests","Sat Sep 07 14:47:09 MSK 2024","passed","Sat Sep 07 14:47:18 MSK 2024","","test_opencart","",""
"","6817","Registration new user","tests","Sat Sep 07 14:47:09 MSK 2024","passed","Sat Sep 07 14:47:16 MSK 2024","","test_opencart","",""
"","5570","Main page elements check","tests","Sat Sep 07 14:47:09 MSK 2024","passed","Sat Sep 07 14:47:15 MSK 2024","","test_opencart","",""
"","5127","Add to cart","tests","Sat Sep 07 14:47:18 MSK 2024","passed","Sat Sep 07 14:47:23 MSK 2024","","test_opencart","",""
"","9685","Add to wishlist","tests","Sat Sep 07 14:47:17 MSK 2024","passed","Sat Sep 07 14:47:27 MSK 2024","","test_opencart","",""
"","8215","Search non existing data","tests","Sat Sep 07 14:47:09 MSK 2024","passed","Sat Sep 07 14:47:17 MSK 2024","","test_opencart","",""
"","8122","Сurrency change to euro","tests","Sat Sep 07 14:47:09 MSK 2024","passed","Sat Sep 07 14:47:17 MSK 2024","","test_opencart","",""
"","3875","Registration elements check","tests","Sat Sep 07 14:47:09 MSK 2024","passed","Sat Sep 07 14:47:13 MSK 2024","","test_opencart","",""
"","4677","Administrator account login","tests","Sat Sep 07 14:47:09 MSK 2024","passed","Sat Sep 07 14:47:14 MSK 2024","","test_opencart","",""
"","4583","Сurrency change to dollar","tests","Sat Sep 07 14:47:15 MSK 2024","passed","Sat Sep 07 14:47:20 MSK 2024","","test_opencart","",""
